parameter_cd,parameter_nm,keep
39390,"Endrin, water, unfiltered, recoverable, micrograms per liter",Y
39393,"Endrin, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39398,"Ethion, water, unfiltered, recoverable, micrograms per liter",Y
39399,"Ethion, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39400,"Toxaphene, water, unfiltered, recoverable, micrograms per liter",Y
39403,"Toxaphene, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39410,"Heptachlor, water, unfiltered, recoverable, micrograms per liter",Y
39413,"Heptachlor, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39420,"Heptachlor epoxide, water, unfiltered, recoverable, micrograms per liter",Y
39423,"Heptachlor epoxide, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39480,"p,p'-Methoxychlor, water, unfiltered, recoverable, micrograms per liter",Y
39516,"PCBs, water, unfiltered, recoverable, micrograms per liter",Y
39519,"PCBs, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39530,"Malathion, water, unfiltered, recoverable, micrograms per liter",Y
39531,"Malathion, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39540,"Parathion, water, unfiltered, recoverable, micrograms per liter",Y
39541,"Parathion, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39570,"Diazinon, water, unfiltered, recoverable, micrograms per liter",Y
39571,"Diazinon, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39600,"Methyl parathion, water, unfiltered, recoverable, micrograms per liter",Y
39601,"Methyl parathion, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39730,"2,4-D, water, unfiltered, recoverable, micrograms per liter",Y
39731,"2,4-D, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39740,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",Y
39741,"2,4,5-T, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39760,"Silvex, water, unfiltered, recoverable, micrograms per liter",Y
39761,"Silvex, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39786,"Carbophenothion, water, unfiltered, recoverable, micrograms per liter",Y
39787,"Carbophenothion, bed sediment, recoverable, dry weight, micrograms per kilogram",Y
39790,"Methyl trithion, water, unfiltered, recoverable, micrograms per liter",Y
39791,"Methyl trithion, bed sediment, dry weight, recoverable, dry weight, micrograms per kilogram",Y
70507,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Y
70,"Turbidity, water, unfiltered, Jackson Turbidity Units",Y
85,"Odor at room temperature, threshold odor number",N
310,"Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, milligrams per liter",Y
335,"Chemical oxygen demand, low level, water, unfiltered, milligrams per liter",Y
515,"Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter",Y
1032,"Chromium(VI), water, filtered, micrograms per liter as Cr",Y
1501,"Alpha radioactivity, water, unfiltered, picocuries per liter",Y
1515,"Gross alpha radioactivity, water, filtered, natural uranium curve, picocuries per liter",Y
1516,"Gross alpha radioactivity, suspended sediment, natural uranium curve, picocuries per liter",Y
3501,"Beta radioactivity, water, unfiltered, picocuries per liter",Y
3515,"Gross beta radioactivity, water, filtered, Cs-137 curve, picocuries per liter",Y
3516,"Gross beta radioactivity, suspended sediment, Cs-137 curve, picocuries per liter",Y
38260,"Methylene blue active substances, water, unfiltered, recoverable, milligrams per liter",Y
70299,"Suspended solids dried at 110 degrees Celsius, water, unfiltered, milligrams per liter",Y
80030,"Gross alpha radioactivity, water, filtered, natural uranium curve, micrograms per liter",Y
80040,"Gross alpha radioactivity, suspended sediment, natural uranium curve, micrograms per liter",Y
80050,"Gross beta radioactivity, water, filtered, Sr-90/Y-90 curve, picocuries per liter",Y
80060,"Gross beta radioactivity, suspended sediment, Sr-90/Y-90 curve, picocuries per liter",Y
49381,"Di-n-butyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49456,"Bis(2-chloroethyl) ether, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49468,"Benzo[c]cinnoline, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
71885,"Iron, water, unfiltered, micrograms per liter",Y
49,"Surface area, square miles",N
70332,"Suspended sediment, sieve diameter, percent smaller than 0.125 millimeters",Y
70333,"Suspended sediment, sieve diameter, percent smaller than 0.25 millimeters",Y
70334,"Suspended sediment, sieve diameter, percent smaller than 0.5 millimeters",Y
70337,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.002 millimeters",Y
70338,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.004 millimeters",Y
70339,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.008 millimeters",Y
70340,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.016 millimeters",Y
70341,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.031 millimeters",Y
72000,"Altitude of land surface, feet",N
4024,"Propachlor, water, filtered, recoverable, micrograms per liter",Y
4028,"Butylate, water, filtered, recoverable, micrograms per liter",Y
4035,"Simazine, water, filtered, recoverable, micrograms per liter",Y
4037,"Prometon, water, filtered, recoverable, micrograms per liter",Y
4040,"2-Chloro-4-isopropylamino-6-amino-s-triazine, water, filtered, recoverable, micrograms per liter",Y
4041,"Cyanazine, water, filtered, recoverable, micrograms per liter",Y
4095,"Fonofos, water, filtered, recoverable, micrograms per liter",Y
34253,"alpha-HCH, water, filtered, recoverable, micrograms per liter",Y
34653,"p,p'-DDE, water, filtered, recoverable, micrograms per liter",Y
38933,"Chlorpyrifos, water, filtered, recoverable, micrograms per liter",Y
39341,"Lindane, water, filtered, recoverable, micrograms per liter",Y
39381,"Dieldrin, water, filtered, recoverable, micrograms per liter",Y
39415,"Metolachlor, water, filtered, recoverable, micrograms per liter",Y
39532,"Malathion, water, filtered, recoverable, micrograms per liter",Y
39542,"Parathion, water, filtered, recoverable, micrograms per liter",Y
39572,"Diazinon, water, filtered, recoverable, micrograms per liter",Y
39632,"Atrazine, water, filtered, recoverable, micrograms per liter",Y
46342,"Alachlor, water, filtered, recoverable, micrograms per liter",Y
49395,"2,4-Dinitrotoluene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49403,"1,2-Dimethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49408,"Benzo[ghi]perylene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49454,"4-Bromophenyl phenyl ether, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49461,"Dibenzo[a,h]anthracene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49948,"2-Ethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
82630,"Metribuzin, water, filtered, recoverable, micrograms per liter",Y
82660,"2,6-Diethylaniline, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82661,"Trifluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82663,"Ethalfluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82664,"Phorate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82665,"Terbacil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82666,"Linuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82667,"Methyl parathion, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82668,"EPTC, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82669,"Pebulate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82670,"Tebuthiuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82671,"Molinate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82672,"Ethoprop, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82673,"Benfluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82674,"Carbofuran, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82675,"Terbufos, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82676,"Propyzamide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82677,"Disulfoton, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82678,"Triallate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82679,"Propanil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82680,"Carbaryl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82681,"Thiobencarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82682,"DCPA, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82683,"Pendimethalin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82684,"Napropamide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82685,"Propargite, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82686,"Azinphos-methyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
82687,"cis-Permethrin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",Y
91063,"Diazinon-d10, surrogate, water, filtered (0.7 micron glass fiber filter), percent recovery",Y
91064,"Terbuthylazine, surrogate, water, filtered (0.7 micron glass fiber filter), percent recovery",Y
91065,"alpha-HCH-d6, surrogate, water, filtered (0.7 micron glass fiber filter), percent recovery",Y
99856,"Sample volume, NWQL schedule 2001, milliliters",Y
45,"Precipitation, total, inches",N
572,"Biomass, periphyton, ash weight, grams per square meter",Y
573,"Biomass, periphyton, dry weight, grams per square meter",Y
681,"Organic carbon, water, filtered, milligrams per liter",Y
689,"Organic carbon, suspended sediment, total, milligrams per liter",Y
49264,"PCB congener 14, surrogate, biota, whole organism, percent recovery",Y
49289,"Lipids, biota, whole organism, wet weight, recoverable, percent",Y
49353,"Aldrin, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49354,"PCBs, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49356,"Pentachloroanisole, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49357,"Oxychlordane, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49358,"trans-Nonachlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49359,"cis-Nonachlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49360,"Mirex, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49361,"p,p'-Methoxychlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49362,"o,p'-Methoxychlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49363,"Lindane, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49364,"delta-HCH, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49365,"beta-HCH, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49366,"alpha-HCH, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49367,"Hexachlorobenzene, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49368,"Heptachlor epoxide, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49369,"Heptachlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49370,"Endrin, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49371,"Dieldrin, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49372,"p,p'-DDE, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49373,"o,p'-DDE, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49374,"o,p'-DDD, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49375,"p,p'-DDD, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49376,"p,p'-DDT, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49377,"o,p'-DDT, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49378,"DCPA, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49379,"trans-Chlordane, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49380,"cis-Chlordane, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49954,"Biomass, periphyton, ash free dry mass, grams per square meter",Y
70326,"Suspended sediment, fall diameter (native water), percent smaller than 0.002 millimeters",Y
70327,"Suspended sediment, fall diameter (native water), percent smaller than 0.004 millimeters",Y
70328,"Suspended sediment, fall diameter (native water), percent smaller than 0.008 millimeters",Y
70329,"Suspended sediment, fall diameter (native water), percent smaller than 0.016 millimeters",Y
70330,"Suspended sediment, fall diameter (native water), percent smaller than 0.031 millimeters",Y
70335,"Suspended sediment, sieve diameter, percent smaller than 1 millimeters",Y
70336,"Suspended sediment, sieve diameter, percent smaller than 2 millimeters",Y
70342,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.0625 millimeters",Y
70343,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.125 millimeters",Y
70344,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.25 millimeters",Y
70345,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.5 millimeters",Y
70346,"Suspended sediment, fall diameter (deionized water), percent smaller than 1 millimeter",Y
70957,"Chlorophyll a, periphyton, chromatographic-fluorometric method, milligrams per square meter",Y
70958,"Chlorophyll b, periphyton, chromatographic-fluorometric method, milligrams per square meter",Y
71850,"Nitrate, water, unfiltered, milligrams per liter as nitrate",Y
90853,"Chlordane plus degradates, bed sediment, recoverable, minimum summation, dry weight, micrograms per kilogram",Y
90865,"DDT plus degradates, biota, whole organism, wet weight, maximum summation, micrograms per kilogram",Y
90866,"Chlordane plus degradates, biota, whole organism, maximum summation, wet weight, micrograms per kilogram",Y
32,"Cloud cover, percent",N
35,"Wind speed, miles per hour",N
450,"Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",Y
31625,"Fecal coliforms, M-FC MF (0.7 micron) method, water, colony forming units per 100 milliliters",Y
50014,"Transit rate, sampler, minimum, feet per second",Y
62855,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, analytically determined, milligrams per liter",Y
63676,"Turbidity, water, unfiltered, broad band light source (400-680 nm), detectors at multiple angles including 90 +-30 degrees, ratiometric correction, NTRU",Y
90909,"Enterococci, mEI MF method, water, colony forming units per 100 ml",Y
99112,"Topical quality-control data purpose, code",N
99200,"Lot number, first, inorganic-grade water, number",N
31673,"Fecal streptococci, KF streptococcus MF method, water, colony forming units per 100 milliliters",Y
62452,"Arsenite, water, filtered, micrograms per liter as arsenic",Y
62453,"Arsenate, water, filtered, micrograms per liter as arsenic",Y
62454,"Monomethylarsonate ((CH3)HAsO3-), water, filtered, recoverable, micrograms per liter as arsenic",Y
62455,"Dimethylarsinate ((CH3)2HAsO2), water, filtered, recoverable, micrograms per liter as arsenic",Y
23,"Sample weight, pounds",N
447,"Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",Y
29,Project number,N
49260,"Acetochlor, water, filtered, recoverable, micrograms per liter",Y
99818,"Set number, NWQL schedule 2001",Y
52150,"Organic carbon, bed sediment, recoverable, dry weight, milligrams per kilogram",Y
52814,"Ractopamine, water, filtered, recoverable, nanograms per liter",Y
52815,"Hexamethylenetetramine, water, filtered, recoverable, nanograms per liter",Y
52816,"Guanylurea, water, filtered, recoverable, nanograms per liter",Y
52817,"Gabapentin, water, filtered, recoverable, nanograms per liter",Y
61678,"Chlorsulfuron, water, filtered, recoverable, nanograms per liter",Y
61679,"Flumetsulam, water, filtered, recoverable, nanograms per liter",Y
61680,"Halosulfuron methyl, water, filtered, recoverable, nanograms per liter",Y
61682,"Imazaquin, water, filtered, recoverable, nanograms per liter",Y
61683,"Imazethapyr, water, filtered, recoverable, nanograms per liter",Y
61685,"Nicosulfuron, water, filtered, recoverable, nanograms per liter",Y
61687,"Prosulfuron, water, filtered, recoverable, nanograms per liter",Y
63163,"1,4-Dichlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",Y
63165,"1-Methylnaphthalene, solids, recoverable, dry weight, micrograms per kilogram",Y
63166,"BDE congener 47, solids, recoverable, dry weight, micrograms per kilogram",Y
63167,"2,6-Dimethylnaphthalene, solids, recoverable, dry weight, micrograms per kilogram",Y
63168,"2-Methylnaphthalene, solids, recoverable, dry weight, micrograms per kilogram",Y
63170,"3-beta-Coprostanol, solids, recoverable, dry weight, micrograms per kilogram",Y
63171,"3-Methyl-1H-indole, solids, recoverable, dry weight, micrograms per kilogram",Y
63173,"4-Cumylphenol, solids, recoverable, dry weight, micrograms per kilogram",Y
63174,"4-n-Octylphenol, solids, recoverable, dry weight, micrograms per kilogram",Y
63175,"4-Nonylphenol (sum of all isomers), solids, recoverable, dry weight, micrograms per kilogram",Y
63176,"4-tert-Octylphenol, solids, recoverable, dry weight, micrograms per kilogram",Y
63178,"Acetophenone, solids, recoverable, dry weight, micrograms per kilogram",Y
63179,"Acetyl hexamethyl tetrahydro naphthalene, solids, recoverable, dry weight, micrograms per kilogram",Y
63180,"Anthracene, solids, recoverable, dry weight, micrograms per kilogram",Y
63181,"9,10-Anthraquinone, solids, recoverable, dry weight, micrograms per kilogram",Y
63182,"Atrazine, solids, recoverable, dry weight, micrograms per kilogram",Y
63183,"Benzo[a]pyrene, solids, recoverable, dry weight, micrograms per kilogram",Y
63184,"Benzophenone, solids, recoverable, dry weight, micrograms per kilogram",Y
63185,"beta-Sitosterol, solids, recoverable, dry weight, micrograms per kilogram",Y
63186,"beta-Stigmastanol, solids, recoverable, dry weight, micrograms per kilogram",Y
63187,"Bis(2-ethylhexyl) phthalate, solids, recoverable, dry weight, micrograms per kilogram",Y
63188,"Bisphenol A, solids, recoverable, dry weight, micrograms per kilogram",Y
63189,"Bromacil, solids, recoverable, dry weight, micrograms per kilogram",Y
63192,"Camphor, solids, recoverable, dry weight, micrograms per kilogram",Y
63194,"Carbazole, solids, recoverable, dry weight, micrograms per kilogram",Y
63195,"Chlorpyrifos, solids, recoverable, dry weight, micrograms per kilogram",Y
63196,"Cholesterol, solids, recoverable, dry weight, micrograms per kilogram",Y
63198,"Diazinon, solids, recoverable, dry weight, micrograms per kilogram",Y
63200,"4-Nonylphenol diethoxylate (sum of all isomers), solids, recoverable, dry weight, micrograms per kilogram",Y
63201,"4-tert-Octylphenol diethoxylate, solids, recoverable, dry weight, micrograms per kilogram",Y
63202,"Diethyl phthalate, solids, recoverable, dry weight, micrograms per kilogram",Y
63203,"D-Limonene, solids, recoverable, dry weight, micrograms per kilogram",Y
63206,"4-tert-Octylphenol monoethoxylate, solids, recoverable, dry weight, micrograms per kilogram",Y
63208,"Fluoranthene, solids, recoverable, dry weight, micrograms per kilogram",Y
63209,"Hexahydrohexamethyl cyclopentabenzopyran, solids, recoverable, dry weight, micrograms per kilogram",Y
63210,"Indole, solids, recoverable, dry weight, micrograms per kilogram",Y
63211,"Isoborneol, solids, recoverable, dry weight, micrograms per kilogram",Y
63212,"Isophorone, solids, recoverable, dry weight, micrograms per kilogram",Y
63213,"Isopropylbenzene, solids, recoverable, dry weight, micrograms per kilogram",Y
63214,"Isoquinoline, solids, recoverable, dry weight, micrograms per kilogram",Y
63215,"Menthol, solids, recoverable, dry weight, micrograms per kilogram",Y
63218,"Metolachlor, solids, recoverable, dry weight, micrograms per kilogram",Y
63219,"N,N-Diethyl-m-toluamide (DEET), solids, recoverable, dry weight, micrograms per kilogram",Y
63220,"Naphthalene, solids, recoverable, dry weight, micrograms per kilogram",Y
63221,"4-Nonylphenol monoethoxylate (sum of all isomers), solids, recoverable, dry weight, micrograms per kilogram",Y
63222,"p-Cresol, solids, recoverable, dry weight, micrograms per kilogram",Y
63224,"Phenanthrene, solids, recoverable, dry weight, micrograms per kilogram",Y
63225,"Phenol, solids, recoverable, dry weight, micrograms per kilogram",Y
63226,"Prometon, solids, recoverable, dry weight, micrograms per kilogram",Y
63227,"Pyrene, solids, recoverable, dry weight, micrograms per kilogram",Y
63229,"Tris(2-butoxyethyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram",Y
63230,"Tris(2-chloroethyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram",Y
63231,"Tributyl phosphate, solids, recoverable, dry weight, micrograms per kilogram",Y
63232,"Triclosan, solids, recoverable, dry weight, micrograms per kilogram",Y
63234,"Triphenyl phosphate, solids, recoverable, dry weight, micrograms per kilogram",Y
64527,"11-Ketotestosterone, water, unfiltered, recoverable, nanograms per liter",Y
64528,"17-alpha-Estradiol, water, unfiltered, recoverable, nanograms per liter",Y
64529,"17-alpha-Ethynylestradiol, water, unfiltered, recoverable, nanograms per liter",Y
64530,"17-beta-Estradiol, water, unfiltered, recoverable, nanograms per liter",Y
64531,"Norethindrone, water, unfiltered, recoverable, nanograms per liter",Y
64532,"3-beta-Coprostanol, water, unfiltered, recoverable, nanograms per liter",Y
64533,"4-Androstene-3,17-dione, water, unfiltered, recoverable, nanograms per liter",Y
64534,"Cholesterol, water, unfiltered, recoverable, nanograms per liter",Y
64535,"cis-Androsterone, water, unfiltered, recoverable, nanograms per liter",Y
64536,"trans-Diethylstilbestrol, water, unfiltered, recoverable, nanograms per liter",Y
64537,"Epitestosterone, water, unfiltered, recoverable, nanograms per liter",Y
64538,"Equilenin, water, unfiltered, recoverable, nanograms per liter",Y
64539,"Equilin, water, unfiltered, recoverable, nanograms per liter",Y
64540,"Estriol, water, unfiltered, recoverable, nanograms per liter",Y
64541,"Estrone, water, unfiltered, recoverable, nanograms per liter",Y
64542,"Mestranol, water, unfiltered, recoverable, nanograms per liter",Y
64543,"Progesterone, water, unfiltered, recoverable, nanograms per liter",Y
64544,"Dihydrotestosterone, water, unfiltered, recoverable, nanograms per liter",Y
64545,"Testosterone, water, unfiltered, recoverable, nanograms per liter",Y
65064,"Alachlor, water, filtered, recoverable, nanograms per liter",Y
65065,"Atrazine, water, filtered, recoverable, nanograms per liter",Y
65066,"Azinphos-methyl, water, filtered, recoverable, nanograms per liter",Y
65067,"Bifenthrin, water, filtered, recoverable, nanograms per liter",Y
65068,"Butylate, water, filtered, recoverable, nanograms per liter",Y
65069,"Carbaryl, water, filtered, recoverable, nanograms per liter",Y
65070,"Carbofuran, water, filtered, recoverable, nanograms per liter",Y
65072,"Chlorpyrifos, water, filtered, recoverable, nanograms per liter",Y
65078,"Diazinon, water, filtered, recoverable, nanograms per liter",Y
65080,"EPTC, water, filtered, recoverable, nanograms per liter",Y
65084,"Fonofos, water, filtered, recoverable, nanograms per liter",Y
65085,"Hexazinone, water, filtered, recoverable, nanograms per liter",Y
65087,"Malathion, water, filtered, recoverable, nanograms per liter",Y
65088,"Methidathion, water, filtered, recoverable, nanograms per liter",Y
65090,"Metolachlor, water, filtered, recoverable, nanograms per liter",Y
65091,"Molinate, water, filtered, recoverable, nanograms per liter",Y
65093,"Oxyfluorfen, water, filtered, recoverable, nanograms per liter",Y
65098,"Pendimethalin, water, filtered, recoverable, nanograms per liter",Y
65102,"Piperonyl butoxide, water, filtered, recoverable, nanograms per liter",Y
65103,"Prometryn, water, filtered, recoverable, nanograms per liter",Y
65105,"Simazine, water, filtered, recoverable, nanograms per liter",Y
65107,"Thiobencarb, water, filtered, recoverable, nanograms per liter",Y
66589,"Azoxystrobin, water, filtered, recoverable, nanograms per liter",Y
66592,"Cyanazine, water, filtered, recoverable, nanograms per liter",Y
66596,"Dimethoate, water, filtered, recoverable, nanograms per liter",Y
66598,"Diuron, water, filtered, recoverable, nanograms per liter",Y
66604,"Fipronil, water, filtered, recoverable, nanograms per liter",Y
66607,"Desulfinylfipronil, water, filtered, recoverable, nanograms per liter",Y
66610,"Fipronil sulfide, water, filtered, recoverable, nanograms per liter",Y
66613,"Fipronil sulfone, water, filtered, recoverable, nanograms per liter",Y
66620,"Metconazole, water, filtered, recoverable, nanograms per liter",Y
66632,"Myclobutanil, water, filtered, recoverable, nanograms per liter",Y
66641,"Propanil, water, filtered, recoverable, nanograms per liter",Y
66643,"Propiconazole, water, filtered, recoverable, nanograms per liter",Y
66646,"Pyraclostrobin, water, filtered, recoverable, nanograms per liter",Y
66649,"Tebuconazole, water, filtered, recoverable, nanograms per liter",Y
66651,"Terbuthylazine, water, filtered, recoverable, nanograms per liter",Y
66654,"Tetraconazole, water, filtered, recoverable, nanograms per liter",Y
66660,"Trifloxystrobin, water, filtered, recoverable, nanograms per liter",Y
67305,"Bisphenol A, water, unfiltered, recoverable, nanograms per liter",Y
67309,"Bisphenol A-d16, isotope dilution standard, water, unfiltered, percent recovery",Y
67434,"Norethindrone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67435,"Piperonyl butoxide, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67436,"Acetaminophen, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67437,"Albuterol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67439,"Bupropion, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67440,"Caffeine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67441,"Carbamazepine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67442,"Cimetidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67443,"Codeine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67444,"Cotinine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67445,"Dehydronifedipine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67446,"1,7-Dimethylxanthine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67447,"Diphenhydramine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67448,"Duloxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67449,"Erythromycin, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67450,"Fluoxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67451,"Norfluoxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67452,"Ranitidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67454,"Sulfamethoxazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67455,"Thiabendazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67456,"Trimethoprim, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67457,"Warfarin, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67458,"Morphine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67459,"Hydrocortisone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67460,"Pseudoephedrine + Ephedrine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67461,"Amphetamine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67462,"Lidocaine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67464,"Meprobamate, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67466,"Phenytoin, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67467,"Prednisone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67468,"Dextromethorphan, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67469,"Oxazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
