gage,name
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA    "
1638500,"POTOMAC RIVER AT POINT OF ROCKS, MD  "
1639000,"MONOCACY RIVER AT BRIDGEPORT, MD    "
1639140,"PINEY CREEK NEAR TANEYTOWN, MD    "
1639375,"TOMS CREEK AT EMMITSBURG, MD    "
1639500,"BIG PIPE CREEK AT BRUCEVILLE, MD   "
1640000,"LITTLE PIPE CREEK AT AVONDALE, MD   "
1640456,"OWENS CREEK NEAR FOXVILLE, MD    "
1640500,"OWENS CREEK AT LANTZ, MD    "
1640965,"HUNTING CREEK NEAR FOXVILLE, MD    "
1640970,"HUNTING CREEK TRIBUTARY NEAR FOXVILLE, MD   "
1640975,"HUNTING CREEK NEAR THURMONT,MD     "
1640980,"BEAR BRANCH NEAR THURMONT, MD    "
1641000,"HUNTING CREEK AT JIMTOWN, MD    "
1641500,"FISHING CREEK NEAR LEWISTOWN, MD    "
1641510,"FISHING CREEK TRIBUTARY NEAR LEWISTOWN, MD   "
1642000,"MONOCACY RIVER NEAR FREDERICK, MD    "
1642500,"LINGANORE CREEK NEAR FREDERICK, MD    "
1643000,"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD "
1643495,"BENNETT CREEK TRIBUTARY AT PARK MILLS, MD  "
1643500,"BENNETT CREEK AT PARK MILLS, MD   "
1643700,"GOOSE CREEK NEAR MIDDLEBURG, VA    "
1644000,"GOOSE CREEK NEAR LEESBURG, VA    "
1644290,"STAVE RUN AT RESTON, VA    "
1644291,"STAVE RUN NEAR RESTON, VA    "
1644295,"SMILAX BRANCH AT RESTON, VA    "
1644500,"GREAT SENECA CREEK NEAR GAITHERSBURG, MD   "
1644600,"GREAT SENECA CREEK NEAR QUINCE ORCHARD, MD  "
1645000,"SENECA CREEK AT DAWSONVILLE, MD    "
1645200,"WATTS BRANCH AT ROCKVILLE, MD    "
1646000,"DIFFICULT RUN NEAR GREAT FALLS, VA   "
1646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA"
1646502,"POTOMAC RIVER (ADJUSTED) NEAR WASH, DC   "
1646550,"LITTLE FALLS BRANCH NEAR BETHESDA, MD   "
1647685,"WILLIAMSBURG RUN NEAR OLNEY, MD    "
1647720,"NORTH BRANCH ROCK CREEK NEAR NORBECK, MD  "
1647725,"MANOR RUN NEAR NORBECK, MD    "
1647740,"NORTH BRANCH ROCK CREEK NEAR ROCKVILLE, MD  "
1648000,"ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC  "
1649000,"ROCK CREEK AT Q STREET, WASHINGTON DC  "
1649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD  "
1650050,"NW BRANCH ANACOSTIA RIVER AT NORWOOD, MD  "
1650085,"NURSERY RUN AT CLOVERLY, MD    "
1650450,"BEL PRE CREEK AT LAYHILL, MD   "
1650500,"NORTHWEST BRANCH ANACOSTIA RIVER NR COLESVILLE, MD  "
1651000,"NORTHWEST BR ANACOSTIA RIVER NR HYATTSVILLE, MD  "
1651800,"WATTS BRANCH AT WASHINGTON, DC    "
1652500,"FOURMILE RUN AT ALEXANDRIA, VA    "
1653000,"CAMERON RUN AT ALEXANDRIA, VA    "
1653500,"HENSON CREEK AT OXON HILL, MD   "
1653600,"PISCATAWAY CREEK AT PISCATAWAY, MD    "
1654000,"ACCOTINK CREEK NEAR ANNANDALE, VA    "
1654500,"LONG BRANCH NEAR ANNANDALE, VA    "
1655000,"ACCOTINK CREEK NEAR ACCOTINK STATION, VA   "
1655500,"CEDAR RUN NEAR WARRENTON, VA    "
1656000,"CEDAR RUN NEAR CATLETT, VA    "
1656100,"CEDAR RUN NEAR ADEN, VA    "
1656120,"CEDAR RUN AT RT 646 NEAR ADEN, VA "
1656500,"BROAD RUN AT BUCKLAND, VA    "
1656650,"BROAD RUN NEAR BRISTOW, VA    "
1656700,"OCCOQUAN RIVER NEAR MANASSAS, VA    "
1656725,"BULL RUN NEAR CATHARPIN, VA    "
1656960,"CUB RUN NEAR BULL RUN, VA   "
1657000,"BULL RUN NEAR MANASSAS, VA    "
1657020,"BULL RUN NEAR MANASSAS PARK, VA   "
1657415,"BULL RUN NEAR CLIFTON, VA    "
1657500,"OCCOQUAN RIVER NEAR OCCOQUAN, VA    "
1657655,"HOOES RUN NEAR OCCOQUAN, VA    "
1657850,"NEABSCO CREEK AT DALE CITY, VA   "
1657885,"NEABSCO CR TRIB AT TELEGRAPH RD NR DALE CITY,"
1657895,"POWELLS CREEK NEAR DALE CITY, VA   "
1658000,"MATTAWOMAN CREEK NEAR POMONKEY, MD    "
1658480,"QUANTICO CREEK NEAR DUMFRIES, VA    "
1658500,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA "
1658550,"S F QUANTICO CREEK AT CAMP 5, NEAR JOPLIN,"
1658650,"S F QUANTICO CREEK NEAR DUMFRIES, VA  "
1658698,"LITTLE CREEK AT MOCKING BIRD RD AT TRIANGLE, VA"
1658705,"LITTLE CREEK AT GEIGER ROAD AT QUANTICO, VA "
1659000,"N BRANCH CHOPAWAMSIC CR NR INDEPENDENT HILL, VA "
1659500,"M BRANCH CHOPAWAMSIC CREEK NR GARRISONVILLE, VA  "
1660000,"S BRANCH CHOPAWAMSIC CREEK NR GARRISONVILLE, VA  "
1660100,"CHOPAWAMSIC CREEK AT RUSSELL ROAD NR JOPLIN, VA "
1660380,"CANNON CREEK NEAR GARRISONVILLE, VA    "
1660400,"AQUIA CREEK NEAR GARRISONVILLE, VA    "
1660500,"BEAVERDAM RUN NEAR GARRISONVILLE, VA    "
1660920,"ZEKIAH SWAMP RUN NEAR NEWTOWN, MD   "
1661000,"CHAPTICO CREEK AT CHAPTICO, MD    "
1661050,"ST CLEMENT CREEK NEAR CLEMENTS, MD   "
1661500,"ST MARYS RIVER AT GREAT MILLS, MD  "
