parameter_cd,parameter_nm,keep
1076,"Silver, suspended sediment, recoverable, micrograms per liter",Y
1077,"Silver, water, unfiltered, recoverable, micrograms per liter",Y
1080,"Strontium, water, filtered, micrograms per liter",Y
1090,"Zinc, water, filtered, micrograms per liter",Y
1091,"Zinc, suspended sediment, recoverable, micrograms per liter",Y
1092,"Zinc, water, unfiltered, recoverable, micrograms per liter",Y
1093,"Zinc, bed sediment, recoverable, dry weight, milligrams per kilogram",Y
1105,"Aluminum, water, unfiltered, recoverable, micrograms per liter",Y
1106,"Aluminum, water, filtered, micrograms per liter",Y
1107,"Aluminum, suspended sediment, recoverable, micrograms per liter",Y
1130,"Lithium, water, filtered, micrograms per liter",Y
1145,"Selenium, water, filtered, micrograms per liter",Y
1146,"Selenium, suspended sediment, total, micrograms per liter",Y
1147,"Selenium, water, unfiltered, micrograms per liter",Y
1148,"Selenium, bed sediment, total digestion, dry weight, milligrams per kilogram",Y
1170,"Iron, bed sediment, total digestion, dry weight, milligrams per kilogram",Y
30207,"Gage height, above datum, meters",N
30209,"Discharge, instantaneous, cubic meters per second",N
32730,"Phenolic compounds, water, unfiltered, recoverable, micrograms per liter",Y
39086,"Alkalinity, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate",Y
50280,"Site visit purpose, code",N
63675,"Turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 90 +-30 degrees to incident light, nephelometric turbidity units (NTU)",Y
70300,"Dissolved solids dried at 180 degrees Celsius, water, filtered, milligrams per liter",Y
70301,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",Y
70302,"Dissolved solids, water, short tons per day",Y
70303,"Dissolved solids, water, filtered, short tons per acre-foot",Y
71825,"Acidity, water, unfiltered, heated, milligrams per liter as hydrogen ion",Y
71845,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as NH4",Y
71846,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as NH4",Y
71851,"Nitrate, water, filtered, milligrams per liter as nitrate",Y
71856,"Nitrite, water, filtered, milligrams per liter as nitrite",Y
71886,"Phosphorus, water, unfiltered, milligrams per liter as PO4",Y
71887,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter as nitrate",Y
71890,"Mercury, water, filtered, micrograms per liter",Y
71900,"Mercury, water, unfiltered, recoverable, micrograms per liter",Y
71921,"Mercury, bed sediment, recoverable, dry weight, milligrams per kilogram",Y
71999,"Sample purpose, code",N
72105,"Sample location, distance upstream, feet",Y
80154,"Suspended sediment concentration, milligrams per liter",Y
80155,"Suspended sediment discharge, short tons per day",Y
82031,"Coal, bed sediment, dry weight, grams per kilogram",Y
82068,"Potassium-40, water, filtered, picocuries per liter",Y
82398,"Sampling method, code",N
84164,"Sampler type, code",N
84182,"Bottle or bag sampler material (construction), code",N
90095,"Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius",Y
90410,"Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Y
95410,"Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Y
95902,"Noncarbonate hardness, water, milligrams per liter as calcium carbonate",Y
99111,"Type of quality assurance data associated with sample, code",N
